Ticker,date,LTM_REVENUE,LTM_EPS,LTM_OPERATING_INCOME,LTM_OPERATING_MARGIN,EV,NTM_PE,NTM_REVENUE,NTM_EPS,NTM_OPERATING_MARGIN,NTM_EV_EBITDA,LTM_EBITDA,MARKET_CAP,DAILY_VOLUME,LTM_DIVIDEND_YIELD,LTM_GROSS_MARGIN,LTM_EBIT_MARGIN,LONG_TERM_EPS_CAGR,LATEST_ANNUAL_DPS,LTM_EBITDA_MARGIN,TOTAL_DEBT_TO_ASSET,YOY_QUARTER_REVENUE_GROWTH,YOY_QUARTER_EPS_GROWTH,REVENUE_TO_CASH,LTM_EV_TO_EBITDA,LTM_PE,SHORT_INTEREST,SHORT_INTEREST_PERCENT_EQUITY_FLOAT,IMPLIED_CDS_SPREAD,IMPLIED_VOLATILITY_DELTA,TOTAL_CALL_OPEN_INTEREST,TOTAL_PUT_OPEN_INTEREST,PB,TOTAL_DEBT_TO_EQUITY,LTM_TOTAL_DEBT_TO_EBITDA,LTM_ROE,TANGIBLE_BOOK_VALUE_PER_SHARE,LTM_CAPITAL_EXPENDITURES,NET_DEBT,NTM_REVENUE_GROWTH,LTM_EV_REVENUE,LTM_EV_EBIT,LTM_EBITDA_CAPEX_MARGIN
AMZN,7/31/17,150124,3.9467,3463,2.3068,466808,77.796,187500,12.697,,22.632,12911,474509,7352060,,35.9803,2.3068,26.695,0,8.6002,26.9067,24.8355,-77.3481,2.8747,36.1558,36.9202,480.38,4718660,1.179,34,22.205,280265,323210,20.4245,101.745,1.8294,9.67,39.5,-10175,7951.129661,0.24896752,3.109482828,134.7987294
AMZN,8/31/17,150124,3.9467,3463,2.3068,466808,76.086,188567,12.888,,22.784,12911,471060,3331490,,35.9803,2.3068,23.39,0,8.6002,26.9067,24.8355,-77.3481,2.8747,36.1558,36.6531,480.38,4887810,1.222,38,17.952,365046,385519,20.276,101.745,1.8294,9.67,39.5,-10175,7968.440956,0.256074978,3.109482828,134.7987294
AMZN,9/29/17,150124,3.9467,3463,2.3068,466808,75.424,191217,12.746,,23.168,12911,461813,2543760,,35.9803,2.3068,28.695,0,8.6002,26.9067,24.8355,-77.3481,2.8747,36.1558,35.5776,480.38,6341900,1.585,39,17.993,382093,403132,18.7919,101.745,1.8294,9.67,39.5,-10175,6349.292921,0.273727052,3.109482828,134.7987294
AMZN,10/31/17,161154,3.9467,3235,2.0074,482247,76.432,215562,14.461,,23.51,13511,532604,3476970,,36.4595,2.0074,22.07,0,8.3839,37.4661,33.7165,0,3.4263,35.6929,40.8171,481.872,5929710,1.477,58,20.064,365258,424737,21.6054,175.14,3.1964,9.0763,23.6245,-11408,7478.219666,0.337614952,2.992460628,149.0717156
AMZN,11/30/17,161154,3.9467,3235,2.0074,482247,81.357,215662,14.464,,24.978,13511,567043,4509210,,36.4595,2.0074,24.303,0,8.3839,37.4661,33.7165,0,3.4263,35.6929,43.3661,481.872,5400490,1.341,52,21.965,369195,451723,23.0024,175.14,3.1964,9.0763,23.6245,-11408,8588.953775,0.338235477,2.992460628,149.0717156
AMZN,12/29/17,161154,3.9467,3235,2.0074,482247,81.53,215696,14.344,,22.458,13511,563535,2688390,,36.4595,2.0074,25.642,0,8.3839,37.4661,33.7165,0,3.4263,35.6929,37.0033,481.872,5047070,1.254,53,16.874,330542,399292,20.4274,175.14,3.1964,9.0763,23.6245,-11408,6860.985213,0.338446455,2.992460628,149.0717156
AMZN,1/31/18,177866,4.5593,4107,2.309,579184,87.561,228170,16.57,,28.206,15585,699144,6424690,,37.0684,2.309,31.744,0,8.7622,33.6204,38.2067,145.223,2.9458,37.1629,45.7045,481.872,5184680,1.288,48,52.042,302547,352670,25.3431,159.324,2.8327,12.908,22.7025,-11955,8051.136678,0.282819651,3.256294064,141.0236182
AMZN,2/28/18,177866,4.5593,4107,2.309,579184,92.296,233235,16.387,,27.883,15585,732188,4515020,,37.0684,2.309,25.447,0,8.7622,33.6204,38.2067,145.223,2.9458,37.1629,47.8248,484.107,4776060,1.18,54,27.423,325040,397271,26.4183,159.324,2.8327,12.908,22.7025,-11955,13452.18171,0.311296144,3.256294064,141.0236182
AMZN,3/29/18,177866,4.5593,4107,2.309,579184,87.728,233422,16.498,,26.882,15585,700668,12581100,,37.0684,2.309,25.492,0,8.7622,33.6204,38.2067,145.223,2.9458,37.1629,40.5902,484.107,4052170,1.001,61,37.039,389013,400437,22.3106,159.324,2.8327,12.908,22.7025,-11955,12179.39629,0.312347498,3.256294064,141.0236182
AMZN,4/30/18,193194,6.3493,5029,2.6031,721484,69.151,248597,22.648,,24.753,17743,759928,5464080,,37.7677,2.6031,37.305,0,9.184,35.206,42.9187,121.053,3.0608,40.663,43.9301,485.227,5503670,1.356,69,25.87,354102,410810,24.1418,141.395,2.5073,14.8221,37.268,-12905,13677.17859,0.286773916,3.734505212,143.4647047
AMZN,5/31/18,193194,6.3493,5029,2.6031,721484,71.559,248841,22.773,,25.794,17743,790735,3166330,,37.7677,2.6031,38.638,0,9.184,35.206,42.9187,121.053,3.0608,40.663,45.6664,485.227,4938890,1.217,65,17.776,357045,443627,25.1205,141.395,2.5073,14.8221,37.268,-12905,8899.37081,0.288036896,3.734505212,143.4647047
AMZN,6/29/18,193194,6.3493,5029,2.6031,721484,74.357,248960,22.86,,26.504,17743,824789,4543510,,37.7677,2.6031,45.766,0,9.184,35.206,42.9187,121.053,3.0608,40.663,39.9871,485.227,4275340,1.053,61,24.39,379805,440327,23.6549,141.395,2.5073,14.8221,37.268,-12905,7765.122991,0.288652857,3.734505212,143.4647047
AMZN,7/31/18,208125,9.8273,7384,3.5479,846542,57.865,258088,30.717,,24.281,21095,866931,5738710,,38.782,3.5479,43.104,0,10.1357,34.1454,39.3387,1170.73,2.6679,40.13,41.9848,487.741,4569660,1.119,62,25.407,362171,467718,24.7353,130.844,2.1706,21.5602,43.2259,-13035,9643.914837,0.240062462,4.067469069,114.6454496
AMZN,8/31/18,208125,9.8273,7384,3.5479,846542,65.046,258005,30.943,,27.253,21095,981682,4204380,,38.782,3.5479,52.88,0,10.1357,34.1454,39.3387,1170.73,2.6679,40.13,47.4245,487.741,4283230,1.049,56,20.705,405233,580010,28.0094,130.844,2.1706,21.5602,43.2259,-13035,9601.103865,0.239663664,4.067469069,114.6454496
AMZN,9/28/18,208125,9.8273,7384,3.5479,846542,64.709,258087,30.954,,27.03,21095,976946,4085140,,38.782,3.5479,52.88,0,10.1357,34.1454,39.3387,1170.73,2.6679,40.13,39.1148,487.741,4350340,1.065,52,23.81,417744,534622,25.0343,130.844,2.1706,21.5602,43.2259,-13035,9475.324677,0.240057658,4.067469069,114.6454496
AMZN,10/31/18,220957,15.0573,10761,4.8702,993612,48.303,265764,33.083,,20.497,25338,781377,9390210,,39.8688,4.8702,49.5,0,11.4674,30.5578,29.3343,1015.09,2.7699,39.2143,31.3964,488.969,5167600,1.261,66,41.716,483082,485106,19.9726,112.23,1.733,27.9134,50.2495,-13313,14637.57484,0.202786062,4.496856855,92.3345414
